title,Service,filter,description,weighted_keywords
Automate Version History Cleanup,SharePoint & OneDrive,management,Version history eating up your storage? Use this script to clean up old file versions in SharePoint Online and keep your Microsoft 365 environment optimized.,version history cleanup:10;delete old versions:9;file versions:8;storage cleanup:8;reduce SharePoint storage:7;trim versions:6
Azure AD Devices Report,Security & Identity,reporting,Get Azure AD devices report using PowerShell now for continuous monitoring of devices in and around your organization and thereby protecting the Office 365.,devices report:10;Azure AD devices:9;Entra devices:9;registered devices:8;joined devices:7;device inventory:7;Intune devices:5
Check Per-user MFA Status using MS Graph,Security & Identity,reporting,Download this PowerShell script to retrieve per-user MFA status using MS Graph and export the report to CSV file.,per-user MFA:10;MFA status:9;multifactor authentication:7;2FA status:7;Graph MFA report:6
Configure Email Signature in Outlook,Exchange,management,Admins can set up an email signature in Outlook using plain text or HTML templates. Unlock the full potential of script to solve more use cases.,email signature:10;configure signature:9;outlook signature:8;signature template:7;HTML signature:6
Configure HTML Email Signature in Outlook,Exchange,management,"This PowerShell script deploys a standardized HTML email signature for Outlook mailboxes across Microsoft 365. It lets admins roll out consistent, branded signatures organization-wide without configuring each user manually.",HTML signature:10;email signature:9;branded signature:8;deploy signature:8;outlook signature:7
Connect Microsoft Graph PowerShell,Security & Identity,management,This script automatically installs and connects to the Microsoft Graph PowerShell SDK module.,connect Graph:10;Microsoft Graph PowerShell:9;MgGraph:8;install Graph module:8;Graph SDK:7;Graph authentication:6
Connect MS Graph with Certificate-Automate Azure app registration,Security & Identity,management,This ready-to-run script helps you register Azure app to connect MS Graph PowerShell through certificate. Download it to automate the process easily.,certificate authentication:10;app-only authentication:9;connect Graph certificate:9;certificate-based auth:8;Azure app registration:7;unattended script:7;automation:5
Connect to All Office 365 Services PowerShell Script,Security & Identity,management,"This ""All-in-One"" PowerShell script helps to connect all Microsoft 365 services using PowerShell with MFA/non-MFA account.",connect all services:10;all-in-one connection:8;connect Microsoft 365 PowerShell:8;PowerShell modules:6;MFA connection:6
Connect to Exchange Online PowerShell script,Exchange,management,We have written a user-friendly PowerShell script to connect Exchange Online PowerShell with MFA/non-MFA account.,connect Exchange Online:10;EXO PowerShell:8;Exchange module:7;MFA connection:6
Convert DL to M365 Groups,Exchange,management,Are you searching for a way to automate distribution list migrations? Here is the PowerShell script to upgrade the distribution lists to Microsoft 365 groups.,upgrade distribution list:10;convert DL to Microsoft 365 group:9;DL migration:7;unified group:6;modernize groups:5
Convert External User into Internal Users in Entra,Entra,management,The Microsoft Entra admin center and Graph API don't support external user conversion in bulk. This PowerShell script handles bulk conversion of external to internal users by importing CSV while preserving access and existing permissions.,convert guest to member:10;external to internal users:9;guest conversion:8;user type change:7;bulk convert users:6;B2B users:6
Convert User Mailboxes to Shared Mailboxes in Bulk,Exchange,management,This PowerShell script helps admins to convert user mailboxes to shared mailboxes.,convert to shared mailbox:10;user mailbox to shared:9;mailbox conversion:8;bulk convert mailboxes:7
Copy Membership and Ownership Between DLs,Exchange,management,Quickly Copy Members from One Distribution List to Another in Microsoft 365-no manual work needed.,copy DL members:10;clone distribution list:9;copy membership:8;copy ownership:7;distribution list:6
Delete Older Emails in Outlook,Exchange,management,This PowerShell script deletes older emails in Outlook after X number of days using the Search-Mailbox and DeleteContent.,delete old emails:10;mailbox cleanup:8;purge emails:8;delete emails after days:7;Search-Mailbox:5;retention:4
Disable Self-service Purchase in M365,Entra,management,This script disables self-service purchase/ trial capability for all the supported M365 products.,self-service purchase:10;disable SSP:9;block purchase:8;self-service trial:6;MSCommerce:6
Enable Mailbox Auditing for Office 365 Users,Exchange,auditing,Quickly enable mailbox auditing in Office 365 using this PowerShell script or you can enable mailbox auditing for all Office 365 users by default.,enable mailbox auditing:10;mailbox audit logging:8;audit enabled by default:6
Enable MFA for Admin Users,Security & Identity,management,"This PowerShell script identifies Office 365 admins without MFA and enables MFA for them. Also, you can enable MFA considering license status.",enable MFA:10;admin MFA:9;admins without MFA:9;multifactor:6;secure admins:6
Export All Mailboxes in EXO,Exchange,reporting,Say goodbye to messy mailbox exports. Our PowerShell script for Microsoft 365 lets you export all mailbox types with clean formatting!,export mailboxes:10;all mailboxes:9;mailbox list:8;mailbox inventory:7;mailbox types:6
Export CA policies,Security & Identity,reporting,Export Conditional Access policies using PowerShell for efficient CA policy management and enhanced Microsoft 365 security.,conditional access policies:10;export CA policy:9;CA policy report:8;access policies:7
Export Distribution Groups,Exchange,reporting,"Export distribution groups report in Microsoft 365 with this PowerShell script to view display name, external sender, authorized members, and more. It helps you identify empty DLs and remove any duplicate distribution lists.",distribution groups report:10;DL report:8;distribution list:8;empty DL:7;duplicate DL:7
Export Entra Sign-in Logs,Security & Identity,auditing,Discover how to export comprehensive sign-in reports for Microsoft 365 users using PowerShell. Enhance security with practical execution examples for streamlined reporting.,sign-in logs:10;export sign-in report:9;login history:8;authentication logs:7;logon logs:6
Export Entra Users,Entra,reporting,"Export Entra users in Microsoft 365 with PowerShell script to gain insights into user type, license usage, sign-in status, and more for efficient user management.",export users:10;Entra users:9;user list:8;user inventory:7;directory users:6;user type:5
Export Mailbox Hold Details,Exchange,reporting,"This PowerShell script exports O365 mailbox hold report and helps to identify the type of holds (litigation, in-place hold, retention) placed on the mailbox",mailbox hold:10;litigation hold:9;retention hold:8;in-place hold:8;legal hold:7;eDiscovery:5
Export Mailbox Usage & Quota Report,Exchange,reporting,Download the PowerShell script to effortlessly generate a comprehensive mailbox quota report and keep your email system running smoothly.,mailbox quota:10;mailbox usage:9;mailbox size:8;quota report:8;storage quota:7
Export MFA Status Report using MS Graph,Security & Identity,reporting,This script exports Microsoft 365 users and their MFA status using Microsoft Graph PowerShell.,MFA status report:10;MFA status:9;multifactor:7;Graph MFA:6;2FA:6
Export Non-audited Mailbox Actions,Exchange,auditing,"Using this PowerShell script, you can identify non-audited mailbox activities and improve the mailbox security by enabling them.",non-audited mailbox actions:10;audit gaps:8;unaudited actions:8;mailbox audit config:7
Export Office 365 Groups a User is Member Of,Entra,reporting,"This PowerShell exports Office 365 groups a user is member of. With this script, you can generate more than 10 user membership report with advanced filters.",groups user is member of:10;user group membership:9;member of:8;membership report:7
Export OneDrive Urls and Usage Size,SharePoint & OneDrive,reporting,Download the handy PowerShell script to quickly compile a list of all users' OneDrive URLs in your organization,OneDrive URLs:10;OneDrive usage size:9;OneDrive storage:8;OneDrive report:8
Export Shared channel members report,MS Teams,reporting,This PowerShell script helps admins to export Microsoft Teams shared channel report and it's membership details to CSV file.,shared channel members:10;shared channel report:9;channel membership:7;B2B direct connect:6
Export SharePoint Online External Users report,SharePoint & OneDrive,reporting,This PowerShell script exports all the external users in SharePoint Online to CSV file. You can also get the external users in the SharePoint sites.,SharePoint external users:10;external users report:9;guest users SharePoint:8;site external users:7
Export SPO File & Folder Storage Consumption Report,SharePoint & OneDrive,reporting,Learn how to retrieve SharePoint file & folder storage usage report using PowerShell and optimize your storage.,SharePoint storage report:10;file folder storage:9;storage consumption:8;file size report:7;folder size:7;optimize storage:5
External Warning Rule for External Emails,Exchange,reporting,External email warning messages can be configured using mail flow rule. It prepends 'External' to subject of email that originated from outside of the org.,external email warning:10;external sender warning:8;external tag:8;mail flow rule:8;transport rule:7;phishing protection:5;safety tip:4
File Version History Report,SharePoint & OneDrive,reporting,Learn how to export SharePoint Online file version history report using PowerShell and keep track of all version changes.,version history report:10;file versions:9;document versions:8;version changes:7
Find and Remove Inactive Users,Entra,management,Learn how to find and delete inactive users in Microsoft 365 efficiently to secure your organization & reuse licenses to reduce costs.,inactive users:10;remove inactive users:9;stale accounts:8;delete unused accounts:7;dormant users:7;reclaim licenses:6
Find DLs with External Users,Exchange,reporting,Identify distribution lists with external users in Microsoft 365 to prevent sensitive information from being shared with unauthorized users.,DLs with external users:10;distribution list external members:9;guests in DL:8
Find Expired Anyone (Anonymous) links,SharePoint & OneDrive,reporting,Learn how to retrieve all expired anonymous links in SharePoint Online using PowerShell. Prevent unauthorized access by identifying and revoking links that are no longer valid.,expired anonymous links:10;expired anyone links:10;expired sharing links:9;revoke links:7;invalid links:6
Find Groups with Disabled Users,Entra,reporting,"Use this PowerShell script to quickly identify groups with disabled users in Microsoft 365, simplifying tracking of active users.",groups with disabled users:10;disabled users in groups:9;blocked accounts:6;group cleanup:6;stale members:6
Find Inactive Distribution Lists,Exchange,reporting,Download this handy PowerShell script to identify inactive distribution lists in the organization using message trace report.,inactive distribution lists:10;unused DL:9;stale DL:8;message trace:5
Find Inactive Teams,MS Teams,reporting,"Identify and manage inactive Microsoft Teams with PowerShell scripts to clean up unused teams, optimize resources, and prevent team overload.",inactive teams:10;unused teams:9;stale teams:8;teams cleanup:6;dormant teams:6
Find Inbox Rules that Forwards Email Externally,Exchange,reporting,This PowerShell script helps to find inbox rules configured with external email forwarding (forwards emails to external users) and export them to CSV file.,external forwarding rules:10;inbox rules forwarding:9;auto forward external:8;forwarding rules report:8;email exfiltration:7
Find Licensed Groups in M365,Entra,reporting,Execute the PowerShell script to get a comprehensive list of all licensed groups in Microsoft 365 in one go!,licensed groups:10;group-based licensing:9;group license report:8
Find M365 Subscriptions Expiry Date,Entra,reporting,This PowerShell script reports the expiry dates of all Microsoft 365 subscriptions and licenses in the tenant. It helps admins track upcoming renewals and avoid service disruption caused by lapsed subscriptions.,subscription expiry:10;expiring subscriptions:9;subscription renewal:8;license expiration:7
Find M365 User License Assignment Path,Entra,reporting,Check Microsoft 365 user license assignment path -whether directly or inherited from a group using PowerShell.,license assignment path:10;direct vs group license:9;inherited license:8;license source:7
Find Non-Compliant Shared Mailboxes,Exchange,reporting,Run the PowerShell script to track unlicensed shared mailboxes allowing direct sign-in access in Microsoft 365.,unlicensed shared mailbox:10;shared mailbox sign-in enabled:9;non-compliant mailboxes:8;shared mailbox compliance:7
Find Orphaned Teams,MS Teams,reporting,This script helps to find Microsoft Teams without an owner and manage them properly by assigning new owner to orphaned teams using PowerShell.,orphaned teams:10;teams without owner:10;ownerless teams:9;assign team owner:7
Find Teams Channels with External Users,MS Teams,reporting,"Execute this PowerShell script to list all Teams Channels with external members, ensuring secure external collaboration in Microsoft Teams.",channels with external users:10;Teams channel guests:8;external members channel:8
Find Teams Meetings Attended By a Specific User,MS Teams,reporting,Learn how to find out the Teams meetings attended by a specific user effectively using our PowerShell script.,meetings attended by user:10;user meeting attendance:9;Teams meeting participation:8
Find Teams with Guests and External Users,MS Teams,reporting,Execute the PowerShell script to list the teams with guests and external access to secure external access in Microsoft Teams.,teams with guests:10;guest access teams:9;external users teams:8
Find Unused Microsoft 365 Licenses,Entra,reporting,Quickly identify unused Microsoft 365 licenses and reclaim them for efficient license management.,unused licenses:10;unassigned licenses:9;reclaim licenses:8;available licenses:7;license cost saving:6
Find who Sent Emails from Shared Mailboxes,Exchange,reporting,This PowerShell script helps admins to find out who sent what email from the shared mailbox in your Office 365 environment.,who sent from shared mailbox:10;shared mailbox sent emails:9;send as audit:7
Get Active and Expired Certificates & Secreats in Enta Apps,Security & Identity,reporting,"Learn how to export all app registrations along with their client secrets and certificates, including their expiration status, expiry dates, and other details. It helps you track active and expired credentials for Microsoft Entra apps.",app credentials report:10;expired client secrets:9;certificate expiry:8;app registration credentials:8;active expired credentials:7
Get Alerts for Break Glass Account Activities,Security & Identity,auditing,"By scheduling the PowerShell script in Task Scheduler, you can receive real-time alerts for break glass account sign-ins and related activities.",break glass account:10;emergency access account:9;break glass alerts:9;real-time alert:7;sign-in monitoring:6;task scheduler:4
Get All Anonymously Shared Links,SharePoint & OneDrive,reporting,"Use this PowerShell script to export all anonymous sharing links along with shared link, file/folder name, access type, link expiry date, and more. It helps you identify any sensitive data exposure and remove unnecessary access links.",anonymous sharing links:10;anyone links:9;shared links report:8;data exposure:6;link expiry:5
Get All Enterprise Apps and their Owners,Security & Identity,reporting,Run the PowerShell script to quickly retrieve a list of all enterprise apps and their owners- no more manual searches!,enterprise apps:10;app owners:9;service principals:7;app inventory:7;ownerless apps:6
Get All Office 365 Email Addresses,Exchange,reporting,"This script helps to get all Office 365 email addresses, including SMTP address and alias. Also, you can export reports based on the mailbox type.",email addresses:10;SMTP addresses:9;alias:8;proxy addresses:8;address list:6
Get All Sharing Links in SharePoint Online,SharePoint & OneDrive,reporting,"This script retrieves all types of sharing links along with link URLs, file or folder names, access types, expiry settings, and more. Use it to identify potential data exposure caused by unwanted sharing links.",sharing links report:10;all sharing links:9;anyone links:7;anonymous links:7;data exposure:6;link expiry:5
Get All Subsites in SPO,SharePoint & OneDrive,reporting,Learn how to get all subsites in SharePoint Online using PowerShell and keep track of your site structure for proper organization.,subsites:10;SharePoint subsites:9;site hierarchy:7;site structure:7
Get Calendar Permission Report,Exchange,reporting,"This PowerShell script helps to get calendar permissions for all the Office 365 mailboxes. Also, it exports 6 different mailbox permission reports to CSV.",calendar permissions:10;calendar sharing:8;calendar delegate:7;mailbox calendar:6
Get Daily Sign-in Summary Report to Your Email,Security & Identity,auditing,Automatically send a daily Microsoft 365 user sign-in summary email with a CSV file and an easy one-glance HTML report to quickly detect suspicious sign-ins.,daily sign-in summary:10;scheduled sign-in report:9;email report:7;suspicious sign-ins:6;HTML report:5
Get DLs a User is Member Of,Exchange,reporting,This PowerShell script lists all Office 365 distribution groups a user is member of. You can also generate reports for all or list of users.,DLs user is member of:10;distribution list membership:9;member of DL:8
Get Entra Enterprise App Permission Report,Security & Identity,reporting,Export all Entra Enterprise applications and their permissions with PowerShell script to prevent misuse of its privileges.,app permissions:10;OAuth permissions:9;API permissions:8;consent report:8;delegated permissions:7;application permissions:7
Get List Items Count in SharePoint Online,SharePoint & OneDrive,reporting,Execute the PowerShell script to get all lists and their item count in SharePoint Online.,list items count:10;SharePoint lists:8;item count:8;list threshold:6
Get M365 Inactive User Report,Entra,reporting,This PowerShell script helps admins to identify users last sign-in activity & generates 10+ Microsoft 365 inactive user report using MS Graph PowerShell.,inactive user report:10;last sign-in activity:8;stale accounts:7;dormant users:7
Get Mailbox Auto Reply Configuration Report,Exchange,reporting,This PowerShell script gets mailbox automatic reply configuration using PowerShell and export them to CSV to find users' out of office configuration.,auto reply:10;out of office:9;OOF:8;automatic replies:8
Get Mailbox Folder Permission Report,Exchange,reporting,Get detailed insights on mailbox folder permissions in Exchange Online to prevent excessive folder privileges and improve mailbox security.,mailbox folder permissions:10;folder access:8;delegate folder:7;calendar folder:6
Get Mailbox Folder Statistics Report,Exchange,reporting,Get detailed mailbox folder statistics for all EXO mailboxes with this PS script. It solves all use cases and helps to optimize storage.,folder statistics:10;folder size:9;mailbox folders:7;item count:7
"Get Microsoft Users Direct Membership (Groups, Directory Roles, and AUs)",Entra,reporting,"List Microsoft 365 user's direct membership, admin roles assigned & administrative units (AU) in Entra ID they are members of using PowerShell.",direct membership:10;directory roles:8;administrative units:8;user groups roles:7;AU membership:6
Get Nested Distribution List Membership Report,Exchange,reporting,"This PowerShell script exports Office 365 nested distribution group members to two CSV files, one with summary & another with detailed info.",nested distribution list:10;nested DL members:9;expand DL membership:8
Get Nested Groups,Entra,reporting,Learn how to get nested groups in Microsoft 365 using PowerShell for managing group hierarchies efficiently.,nested groups:10;group in group:9;group hierarchy:8;nested membership:7
Get Office 365 Groups Storage Size Report,Entra,reporting,This PowerShell script gets the storage used by Office 365 Groups using Get-UnifiedGroup & exports the Office 365 Groups storage report to a CSV file.,group storage size:10;unified group storage:8;group mailbox size:7;groups storage report:8
Get Risky Users in Entra,Security & Identity,reporting,"Use the PowerShell script to list all risky users in Microsoft Entra for early risk detection, proactive remediation, and enhanced identity protection.",risky users:10;identity protection:8;user risk:8;risk detection:7;compromised users:6
Get SPO Files with Sensitivity Label,SharePoint & OneDrive,reporting,"This script gives a clear view of how sensitivity labels are applied across SharePoint Online files, making it easier to spot misclassified content and review protection coverage.",sensitivity labels:10;labeled files:9;MIP labels:7;classification:7;Purview:6;label coverage:6
Get SPO Sites and Applied Retention Policies,SharePoint & OneDrive,reporting,Discover which retention policies are applied to protect your SharePoint sites and manage deletions smoothly.,retention policies:10;site retention:9;SharePoint retention:8;compliance policy:6
Get SSPR Status Report,Security & Identity,reporting,Export self-service password reset status reports using PowerShell to monitor user password resets and increase Microsoft 365 security.,SSPR:10;self-service password reset:10;SSPR status:9;password reset registration:8
Guest User Report,Entra,reporting,This PowerShell script exports Office 365 guest user report along with guest user's group membership info. You can also get stale guests using this script.,guest users:10;guest report:9;external users:8;B2B guests:7;guest membership:6;stale guests:6
Guest Users Last Logon Time Report,Entra,reporting,Track guest users' last login time report to avoid inactive/stale guest accounts in the organization.,guest last logon:10;inactive guests:9;stale guests:8;guest sign-in:7
Identify and Block External Email Forwarding (including Inbox Rules) in Exchange Online,Exchange,management,Learn how to identify and block external email forwarding configurations that risk your organization efficiently using PowerShell script.,block external forwarding:10;external forwarding:9;disable forwarding:8;email exfiltration:7;inbox rules:6
Identify and Block Shared Mailbox Signin,Exchange,management,Learn how to identify and block shared mailbox sign-in using a PowerShell script to prevent unauthorized access and secure your organization exposing sensitive data.,block shared mailbox sign-in:10;shared mailbox sign-in:9;disable shared mailbox login:8;unauthorized access:5
Identify and Remove Overlapped Direct Licenses from Group-based Licensed Users,Entra,management,Find and remove direct licenses for users with group-inherited licenses in Microsoft 365 using PowerShell.,duplicate licenses:10;overlapping licenses:9;remove direct license:8;direct and group license:8;license optimization:7
Identify MFA Deployment Source for M365 Users,Security & Identity,reporting,"Identify MFA deployment source methods whether it's per-user MFA, security defaults, or Conditional Access policies.",MFA deployment source:10;MFA enforcement method:9;security defaults:8;conditional access MFA:8;per-user MFA:7
Install and Connect to EXO,Exchange,management,This script automatically installs Exchange Online Management module and connect to Exchange Online PowerShell.,install Exchange module:10;connect Exchange Online:9;ExchangeOnlineManagement:7;setup EXO:6
Last Successful Sign-in Date Report for M365 Users,Entra,reporting,MS Graph exposes Last Successful Sign-in Date Report for Microsoft 365 Users. Download the PowerShell script to export 10+ last successful sign-in reports.,last successful sign-in:10;last sign-in date:9;last logon:8;inactive users:6
LicenseExpiryDateReport,Entra,reporting,"This PowerShell script exports Office 365 license expiry date with subscription plan, subscribed date, type, subscription expiry date and status to CSV file.",license expiry:10;subscription expiry date:9;expiring licenses:8;renewal date:7
List M365 Users Registered MFA Authentication Methods,Security & Identity,reporting,Weak authentication methods can be a gateway for attacks & data leaks. Quickly review Microsoft 365 users' registered MFA authentication methods with this PowerShell script!,MFA authentication methods:10;registered MFA methods:9;authenticator app:7;weak authentication:6;phone sign-in:5
List Mailboxes Users Can Access,Exchange,reporting,The PowerShell script gets list of mailboxes a user has access to & export it to CSV. You can generate report for all users or specific users.,mailboxes user can access:10;mailbox access:9;delegate access:8;non-owner access:6
List SPO Files & Folders Created by External Users,SharePoint & OneDrive,reporting,Retrieve files and folders created by external users in SharePoint Online to avoid unwanted or malicious activity and improve security.,files created by external users:10;guest created files:9;external user files:8
